,0,1,2,3,4
105,AMEZ,GMKN,2017-07-07,-0.1781,-0.2072
106,AMEZ,IDVP,2017-07-07,0.187,0.2008
107,AMEZ,LKOH,2017-07-07,0.2391,0.2718
108,AMEZ,MICEXINDEXCF,2017-07-07,0.2566,0.5561
109,AMEZ,PHOR,2017-07-07,0.057,0.0804
110,AMEZ,RTSCH,2017-07-07,0.0779,0.1604
111,AMEZ,RTSEU,2017-07-07,0.2602,0.3661
112,AMEZ,RTSI,2017-07-07,0.2004,0.3635
113,AMEZ,RTSMM,2017-07-07,0.0256,0.0416
114,AMEZ,RTSSTD,2017-07-07,0.2604,0.5198
115,AMEZ,RTSTN,2017-07-07,-0.0478,-0.0418
116,AMEZ,SBER,2017-07-07,0.2291,0.2387
117,APTK,GAZP,2017-07-07,-0.1046,-0.3827
118,APTK,GMKN,2017-07-07,0.0728,0.1873
119,APTK,IDVP,2017-07-07,-0.0297,-0.0706
120,APTK,LKOH,2017-07-07,0.054,0.1357
121,APTK,MICEXINDEXCF,2017-07-07,-0.015,-0.0721
122,APTK,PHOR,2017-07-07,-0.061,-0.1905
123,APTK,RTSCH,2017-07-07,0.2745,1.2501
124,APTK,RTSEU,2017-07-07,0.4063,1.2654
125,APTK,RTSI,2017-07-07,0.1166,0.4679
126,APTK,RTSMM,2017-07-07,0.0392,0.141
127,APTK,RTSSTD,2017-07-07,-0.0206,-0.091
128,APTK,RTSTN,2017-07-07,-0.1832,-0.3543
129,APTK,SBER,2017-07-07,-0.1995,-0.4599
130,AQUA,GAZP,2017-07-07,-0.2675,-1.1532
131,AQUA,GMKN,2017-07-07,0.0203,0.0616
132,AQUA,IDVP,2017-07-07,-0.1274,-0.3566
133,AQUA,LKOH,2017-07-07,-0.0181,-0.0535
134,AQUA,MICEXINDEXCF,2017-07-07,-0.0717,-0.4053
135,AQUA,PHOR,2017-07-07,-0.2995,-1.1014
136,AQUA,RTSCH,2017-07-07,0.0296,0.159
137,AQUA,RTSEU,2017-07-07,0.0842,0.309
138,AQUA,RTSI,2017-07-07,0.0236,0.1114
139,AQUA,RTSMM,2017-07-07,0.0813,0.3447
140,AQUA,RTSSTD,2017-07-07,-0.0632,-0.3291
141,AQUA,RTSTN,2017-07-07,-0.1097,-0.2497
142,AQUA,SBER,2017-07-07,-0.0676,-0.1835
143,ARMD,GAZP,2017-07-07,-0.2029,-2.1859
144,ARMD,GMKN,2017-07-07,0.2348,1.779
145,ARMD,IDVP,2017-07-07,0.0831,0.5813
146,ARMD,LKOH,2017-07-07,0.2832,2.0973
147,ARMD,MICEXINDEXCF,2017-07-07,0.0914,1.2904
148,ARMD,PHOR,2017-07-07,-0.0579,-0.5324
149,ARMD,RTSCH,2017-07-07,-0.2291,-3.0709
150,ARMD,RTSEU,2017-07-07,-0.396,-3.6311
151,ARMD,RTSI,2017-07-07,-0.0468,-0.5525
152,ARMD,RTSMM,2017-07-07,-0.308,-3.2647
153,ARMD,RTSSTD,2017-07-07,0.1108,1.4411
154,ARMD,RTSTN,2017-07-07,0.1329,0.7563
155,ARMD,SBER,2017-07-07,0.0692,0.4701
